# SmartHarvest 360 Detailed Plan Report
# Open detailed_plan_report.xls in Excel for separate worksheets.
# Each block below is one logical sheet.

[SHEET] Summary
key,value
farm,Hello
location,Melaka
soil,Silty
crop,Tomato
careScore,100
plantGrade,A
liveGrade,S
fertilizerPlan,Medium
overview,"Tomato on Melaka/Silty finished care 100 with live grade path S (plant-time A). 13 day-group action summaries, 90 field steps, and 5 recommendations are ready before market."

[SHEET] ActionByDayGroup
fromDay,toDay,phase,dominantAction,mainWeather,irrigate,conserve,fertilize,protect,other,waterL,fertilizerKg,growthFrom,growthTo,actionMix,summary
2,8,Early growth,Fertilize,Rain,1,0,6,0,0,1.95,2.40,2,9,"Irrigate 1, Fertilize 6","Early growth: Irrigate 1, Fertilize 6. Main weather Rain. Water 2.0 L, fertilizer 2.4 kg. Growth 2% to 9%."
9,15,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,10,17,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 10% to 17%."
16,22,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,18,24,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 18% to 24%."
23,29,Early growth,Fertilize,Rain,0,0,7,0,0,1.75,2.80,26,32,Fertilize 7,"Early growth: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 26% to 32%."
30,36,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,33,40,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 33% to 40%."
37,43,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,41,48,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 41% to 48%."
44,50,Mid season,Fertilize,Rain,0,0,7,0,0,1.75,2.80,49,56,Fertilize 7,"Mid season: Fertilize 7. Main weather Rain. Water 1.8 L, fertilizer 2.8 kg. Growth 49% to 56%."
51,57,Mid season,Irrigate,Rain,7,0,0,0,0,2.01,0.00,57,63,Irrigate 7,"Mid season: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 57% to 63%."
58,64,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,64,71,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 64% to 71%."
65,71,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,72,79,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 72% to 79%."
72,78,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,80,87,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 80% to 87%."
79,85,Pre-harvest,Irrigate,Rain,7,0,0,0,0,2.01,0.00,88,94,Irrigate 7,"Pre-harvest: Irrigate 7. Main weather Rain. Water 2.0 L, fertilizer 0.0 kg. Growth 88% to 94%."
86,90,Pre-harvest,Irrigate,Rain,5,0,0,0,0,1.44,0.00,96,100,Irrigate 5,"Pre-harvest: Irrigate 5. Main weather Rain. Water 1.4 L, fertilizer 0.0 kg. Growth 96% to 100%."

[SHEET] DailySteps
stepNumber,action,weather,outcome,note
39,Fertilize,Rain,Growing - growth 43%,Fertilizer day - keep stock aligned with the ML plan band.
40,Fertilize,Rain,Growing - growth 44%,Fertilizer day - keep stock aligned with the ML plan band.
41,Fertilize,Rain,Growing - growth 46%,Fertilizer day - keep stock aligned with the ML plan band.
42,Fertilize,Rain,Growing - growth 47%,Fertilizer day - keep stock aligned with the ML plan band.
43,Fertilize,Rain,Growing - growth 48%,Fertilizer day - keep stock aligned with the ML plan band.
44,Fertilize,Rain,Growing - growth 49%,Fertilizer day - keep stock aligned with the ML plan band.
45,Fertilize,Rain,Growing - growth 50%,Fertilizer day - keep stock aligned with the ML plan band.
46,Fertilize,Rain,Growing - growth 51%,Fertilizer day - keep stock aligned with the ML plan band.
47,Fertilize,Rain,Growing - growth 52%,Fertilizer day - keep stock aligned with the ML plan band.
48,Fertilize,Rain,Growing - growth 53%,Fertilizer day - keep stock aligned with the ML plan band.
49,Fertilize,Rain,Growing - growth 54%,Fertilizer day - keep stock aligned with the ML plan band.
50,Fertilize,Rain,Growing - growth 56%,Fertilizer day - keep stock aligned with the ML plan band.
51,Irrigate,Rain,Growing - growth 57%,Irrigation supports growth on dry/sunny days.
52,Irrigate,Rain,Growing - growth 58%,Irrigation supports growth on dry/sunny days.
53,Irrigate,Rain,Growing - growth 59%,Irrigation supports growth on dry/sunny days.
54,Irrigate,Rain,Growing - growth 60%,Irrigation supports growth on dry/sunny days.
55,Irrigate,Rain,Growing - growth 61%,Irrigation supports growth on dry/sunny days.
56,Irrigate,Rain,Growing - growth 62%,Irrigation supports growth on dry/sunny days.
57,Irrigate,Rain,Growing - growth 63%,Irrigation supports growth on dry/sunny days.
58,Irrigate,Rain,Growing - growth 64%,Irrigation supports growth on dry/sunny days.
59,Irrigate,Rain,Growing - growth 66%,Irrigation supports growth on dry/sunny days.
60,Irrigate,Rain,Growing - growth 67%,Irrigation supports growth on dry/sunny days.
61,Irrigate,Rain,Growing - growth 68%,Irrigation supports growth on dry/sunny days.
62,Irrigate,Rain,Growing - growth 69%,Irrigation supports growth on dry/sunny days.
63,Irrigate,Rain,Growing - growth 70%,Irrigation supports growth on dry/sunny days.
64,Irrigate,Rain,Growing - growth 71%,Irrigation supports growth on dry/sunny days.
65,Irrigate,Rain,Growing - growth 72%,Irrigation supports growth on dry/sunny days.
66,Irrigate,Rain,Growing - growth 73%,Irrigation supports growth on dry/sunny days.
67,Irrigate,Rain,Growing - growth 74%,Irrigation supports growth on dry/sunny days.
68,Irrigate,Rain,Growing - growth 76%,Irrigation supports growth on dry/sunny days.
69,Irrigate,Rain,Growing - growth 77%,Irrigation supports growth on dry/sunny days.
70,Irrigate,Rain,Growing - growth 78%,Irrigation supports growth on dry/sunny days.
71,Irrigate,Rain,Growing - growth 79%,Irrigation supports growth on dry/sunny days.
72,Irrigate,Rain,Growing - growth 80%,Irrigation supports growth on dry/sunny days.
73,Irrigate,Rain,Growing - growth 81%,Irrigation supports growth on dry/sunny days.
74,Irrigate,Rain,Growing - growth 82%,Irrigation supports growth on dry/sunny days.
75,Irrigate,Rain,Growing - growth 83%,Irrigation supports growth on dry/sunny days.
76,Irrigate,Rain,Growing - growth 84%,Irrigation supports growth on dry/sunny days.
77,Irrigate,Rain,Growing - growth 86%,Irrigation supports growth on dry/sunny days.
78,Irrigate,Rain,Growing - growth 87%,Irrigation supports growth on dry/sunny days.
79,Irrigate,Rain,Growing - growth 88%,Irrigation supports growth on dry/sunny days.
80,Irrigate,Rain,Growing - growth 89%,Irrigation supports growth on dry/sunny days.
81,Irrigate,Rain,Growing - growth 90%,Irrigation supports growth on dry/sunny days.
82,Irrigate,Rain,Growing - growth 91%,Irrigation supports growth on dry/sunny days.
83,Irrigate,Rain,Growing - growth 92%,Irrigation supports growth on dry/sunny days.
84,Irrigate,Rain,Growing - growth 93%,Irrigation supports growth on dry/sunny days.
85,Irrigate,Rain,Growing - growth 94%,Irrigation supports growth on dry/sunny days.
86,Irrigate,Rain,Growing - growth 96%,Irrigation supports growth on dry/sunny days.
87,Irrigate,Rain,Growing - growth 97%,Irrigation supports growth on dry/sunny days.
88,Irrigate,Rain,Growing - growth 98%,Irrigation supports growth on dry/sunny days.
89,Irrigate,Rain,Growing - growth 99%,Irrigation supports growth on dry/sunny days.
90,Irrigate,Rain,Ready to harvest - growth 100%,Irrigation supports growth on dry/sunny days.

[SHEET] Recommendations
priority,topic,advice
High,Next action habit,On Storm/Heat days always choose Protect first - that is the fastest grade saver.
High,Fertilizer plan,Follow Medium plan: Apply about 2.0 kg split early/mid season (1.0× need).
Medium,Keep momentum,Care 100 supports live grade S. Keep following coach tips through harvest.
Low,Grade upside,You improved the path to S from A. Sell promptly at the best market to lock results.
Medium,Market next,"Continue to Harvest & Market, sell at the best buyer, then download the season CSV on Report."
