@relation crop_recommend

@attribute location {Johor,Kedah,Kelantan,Melaka,'Negeri Sembilan',Pahang,Perak,Perlis,'Pulau Pinang',Sabah,Sarawak,Selangor,Terengganu,'Wilayah Persekutuan'}
@attribute soil {Clay,Loam,Sandy,Silty}
@attribute water numeric
@attribute fertilizerStock numeric
@attribute budget numeric
@attribute land numeric
@attribute npkBand numeric
@attribute crop {Tomato,Lettuce,Chili,Corn,Paddy,Papaya,Durian}

@data
'Negeri Sembilan',Clay,160.1,14.2,7577.5,5.1,1,Tomato
Perlis,Loam,271.3,23.1,13127.3,7.2,0,Paddy
Selangor,Clay,176.6,31.4,11382.8,10.7,1,Corn
Terengganu,Loam,140.0,20.3,6656.0,5.6,2,Papaya
Perlis,Silty,91.5,6.4,6728.1,2.0,0,Lettuce
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Terengganu,Sandy,158.4,21.4,9950.0,3.7,2,Chili
Sarawak,Loam,166.2,22.1,8325.7,10.4,2,Corn
Selangor,Loam,185.1,22.8,10703.2,10.3,1,Corn
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Johor,Loam,120.6,20.8,19566.8,8.7,2,Durian
Terengganu,Clay,130.4,30.7,17306.6,8.7,2,Durian
Pahang,Clay,141.0,18.9,19822.6,6.2,2,Durian
Melaka,Loam,145.4,23.6,7735.5,4.0,1,Tomato
Selangor,Clay,195.8,22.1,10728.5,5.6,1,Tomato
Kedah,Clay,193.6,28.9,10975.4,11.7,1,Corn
Sarawak,Loam,208.6,31.5,9731.5,8.6,2,Corn
Kelantan,Clay,154.5,27.0,19854.8,7.0,2,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Perak,Loam,200.0,14.8,8033.4,4.9,2,Tomato
Perlis,Clay,250.9,15.7,12864.3,8.1,0,Paddy
Kelantan,Loam,120.5,17.1,8196.5,4.8,2,Papaya
'Wilayah Persekutuan',Silty,111.2,5.0,9085.6,2.4,1,Lettuce
Johor,Sandy,110.0,16.6,9180.0,3.9,2,Chili
Sarawak,Loam,178.5,26.3,9983.4,12.0,2,Corn
'Negeri Sembilan',Loam,135.0,32.3,14362.6,9.0,1,Durian
Kedah,Loam,236.7,26.3,8093.1,4.5,1,Paddy
Perlis,Clay,334.5,27.4,12003.6,8.4,0,Paddy
Perlis,Sandy,115.3,23.2,7440.2,4.7,0,Chili
Johor,Sandy,142.3,20.0,7607.0,6.3,2,Chili
'Wilayah Persekutuan',Silty,113.7,9.8,6681.7,2.4,1,Lettuce
Perak,Loam,267.0,24.3,13864.5,11.6,2,Paddy
Pahang,Loam,136.0,18.2,12568.3,8.3,2,Durian
Perak,Loam,191.5,18.7,11134.0,4.5,2,Tomato
Perak,Clay,199.9,22.6,9867.8,8.8,2,Corn
Perak,Loam,189.9,13.9,9836.7,5.0,2,Tomato
Terengganu,Loam,117.2,26.1,16769.1,9.1,2,Durian
Johor,Clay,153.3,24.7,16876.8,7.9,2,Durian
Selangor,Silty,117.3,9.6,8195.9,1.8,1,Lettuce
Perak,Loam,199.0,34.6,9620.5,11.2,2,Corn
Kelantan,Sandy,164.5,20.4,11467.4,2.6,2,Chili
'Pulau Pinang',Clay,201.5,16.0,9868.4,5.8,1,Tomato
Kedah,Clay,279.5,14.4,8558.8,10.4,1,Paddy
Melaka,Clay,151.9,14.6,9712.9,4.5,1,Tomato
Terengganu,Sandy,169.9,15.5,11596.5,5.0,2,Chili
Selangor,Sandy,141.5,19.0,9274.0,2.6,1,Chili
'Negeri Sembilan',Loam,119.8,25.3,13097.2,6.8,1,Durian
Kedah,Clay,292.5,28.5,13969.3,10.8,1,Paddy
Perak,Loam,196.8,15.2,9770.1,8.9,2,Corn
Sabah,Loam,194.6,14.8,10526.6,4.1,2,Papaya
'Negeri Sembilan',Silty,97.0,9.8,7186.3,3.3,1,Lettuce
Kelantan,Clay,258.5,26.1,13656.2,5.9,2,Paddy
Kelantan,Loam,124.3,26.6,18624.1,6.7,2,Durian
Pahang,Clay,169.8,15.1,9078.9,8.8,2,Corn
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Melaka,Clay,161.6,21.8,10540.8,5.2,1,Tomato
Pahang,Loam,196.6,17.7,8511.9,8.6,2,Corn
Selangor,Clay,201.7,20.3,9389.1,8.9,1,Corn
Kelantan,Sandy,148.3,26.0,9305.3,4.0,2,Chili
Terengganu,Loam,304.4,12.9,11277.0,6.1,2,Paddy
'Pulau Pinang',Loam,111.0,8.1,5089.9,2.7,1,Lettuce
Pahang,Loam,146.1,17.2,10024.8,5.4,2,Papaya
Kelantan,Silty,105.4,5.9,6912.5,2.8,2,Lettuce
Kedah,Loam,206.8,29.8,9806.0,10.1,1,Corn
Perak,Loam,165.8,19.4,8982.3,5.0,2,Tomato
'Pulau Pinang',Clay,178.7,14.7,11280.2,5.5,1,Tomato
'Pulau Pinang',Clay,146.7,25.8,8227.4,4.3,1,Tomato
Kelantan,Silty,115.5,8.6,5908.5,1.9,2,Lettuce
Perak,Silty,75.0,10.4,5856.8,3.4,2,Lettuce
Sarawak,Clay,190.4,34.8,8790.5,10.9,2,Corn
Kelantan,Sandy,162.8,22.9,9674.0,3.1,2,Chili
Kedah,Clay,207.8,24.7,8682.9,9.0,1,Corn
Selangor,Sandy,96.1,20.5,11234.9,2.7,1,Chili
Kedah,Clay,330.9,29.5,8398.4,6.6,1,Paddy
Perlis,Silty,77.2,7.1,7195.6,3.0,0,Lettuce
Selangor,Sandy,149.9,21.5,10251.7,3.2,1,Chili
'Negeri Sembilan',Clay,154.3,27.4,8846.4,4.0,1,Tomato
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Kelantan,Sandy,115.8,12.1,6378.7,5.5,2,Chili
Melaka,Loam,169.5,23.3,9379.6,3.9,1,Tomato
Terengganu,Loam,309.2,29.4,14961.0,7.9,2,Paddy
'Pulau Pinang',Loam,150.0,19.4,10967.4,4.2,1,Tomato
Sarawak,Loam,193.5,32.6,8325.8,9.9,2,Corn
'Negeri Sembilan',Clay,147.3,18.3,19797.4,6.2,1,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Terengganu,Loam,123.5,22.6,8563.6,5.8,2,Papaya
Kelantan,Loam,328.0,27.3,11131.0,5.7,2,Paddy
Kedah,Silty,75.7,12.2,9143.9,2.6,1,Lettuce
Kedah,Loam,191.7,25.4,9557.7,6.6,1,Corn
Pahang,Loam,120.4,31.4,19342.4,7.4,2,Durian
Kedah,Loam,315.3,20.5,15053.9,6.1,1,Paddy
Terengganu,Sandy,175.9,21.4,13345.9,5.1,2,Chili
Kedah,Loam,202.4,29.6,9219.2,8.7,1,Corn
Selangor,Clay,149.3,16.6,10175.9,4.3,1,Tomato
Sarawak,Loam,161.0,13.2,7441.5,4.2,2,Papaya
Perak,Clay,228.3,15.5,14496.4,10.7,2,Paddy
Terengganu,Sandy,106.8,15.9,13005.4,5.5,2,Chili
Kedah,Clay,298.5,28.0,11019.7,6.1,1,Paddy
Terengganu,Loam,130.5,30.2,20834.3,7.2,2,Durian
Selangor,Silty,90.9,6.3,3146.0,2.1,1,Lettuce
Selangor,Loam,166.9,14.0,10157.0,4.6,1,Tomato
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Sarawak,Loam,118.9,23.1,10226.3,4.6,2,Papaya
Terengganu,Clay,257.9,24.8,13904.0,7.4,2,Paddy
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Pahang,Clay,115.2,17.3,18519.8,10.0,2,Durian
Kelantan,Loam,187.0,19.2,7266.8,3.6,2,Papaya
Pahang,Loam,163.5,14.5,10430.7,4.3,2,Papaya
Perlis,Silty,118.2,5.7,6352.9,2.3,0,Lettuce
Perlis,Sandy,151.7,10.3,9638.4,3.5,0,Chili
Johor,Clay,151.7,24.3,13108.8,6.1,2,Durian
Kedah,Silty,91.8,9.4,3550.5,3.2,1,Lettuce
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Kelantan,Sandy,122.2,23.8,5430.2,5.1,2,Chili
Melaka,Clay,159.6,20.1,9128.2,4.0,1,Tomato
Pahang,Loam,133.4,24.6,14089.5,9.3,2,Durian
Perak,Loam,188.1,16.1,10037.0,4.4,2,Tomato
Pahang,Clay,141.8,26.6,17656.0,7.5,2,Durian
Terengganu,Loam,127.8,32.9,19919.3,9.7,2,Durian
Kelantan,Loam,111.8,28.3,13480.6,9.8,2,Durian
Selangor,Sandy,120.1,13.4,10149.2,5.0,1,Chili
Sarawak,Clay,191.4,22.0,10959.3,10.5,2,Corn
Johor,Loam,123.3,22.8,8516.8,4.9,2,Papaya
Pahang,Loam,178.4,15.3,9273.5,5.7,2,Papaya
Perlis,Loam,90.4,8.5,3732.2,1.8,0,Lettuce
Perak,Clay,331.4,21.7,12945.4,6.4,2,Paddy
Kelantan,Sandy,113.9,18.1,9500.7,2.7,2,Chili
Pahang,Clay,175.7,32.5,11449.9,9.9,2,Corn
Sabah,Loam,141.5,11.2,6460.5,5.7,2,Papaya
Perak,Clay,199.8,30.1,8466.0,13.0,2,Corn
Kelantan,Sandy,127.9,25.1,13054.3,5.9,2,Chili
Melaka,Silty,72.2,13.6,9068.9,2.5,1,Lettuce
'Negeri Sembilan',Loam,188.2,17.5,8737.1,4.8,1,Tomato
Kelantan,Sandy,167.4,20.9,10362.3,5.6,2,Chili
'Negeri Sembilan',Clay,125.9,23.5,18067.8,7.6,1,Durian
Pahang,Silty,98.9,7.3,7597.2,1.9,2,Lettuce
Sarawak,Loam,170.1,18.7,8277.7,5.5,2,Papaya
Kelantan,Loam,110.3,32.8,16679.0,6.1,2,Durian
Kelantan,Clay,253.5,23.6,9233.5,8.8,2,Paddy
Pahang,Loam,184.3,16.8,8333.1,7.9,2,Corn
Johor,Loam,183.2,19.3,7018.5,4.1,2,Papaya
'Negeri Sembilan',Loam,129.1,22.9,15117.8,8.4,1,Durian
Kelantan,Sandy,138.7,18.5,9916.5,5.2,2,Chili
Pahang,Loam,120.6,20.6,15021.4,6.1,2,Durian
Pahang,Clay,129.8,19.8,18740.4,9.0,2,Durian
Pahang,Loam,134.0,22.0,17122.9,6.3,2,Durian
Kedah,Loam,92.4,9.0,7155.7,2.4,1,Lettuce
Kedah,Silty,88.4,14.9,7513.8,1.6,1,Lettuce
Terengganu,Loam,138.7,32.7,19415.8,9.1,2,Durian
Sarawak,Silty,94.5,15.0,3514.4,1.7,2,Lettuce
Perak,Clay,185.5,34.8,9497.3,13.0,2,Corn
'Negeri Sembilan',Silty,70.7,9.5,4572.9,3.2,1,Lettuce
Kelantan,Sandy,111.3,20.0,13118.0,3.9,2,Chili
Pahang,Clay,187.2,16.3,9521.4,9.2,2,Corn
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
'Pulau Pinang',Clay,170.4,20.0,10416.3,5.4,1,Tomato
Perak,Clay,193.6,28.9,10258.4,13.0,2,Corn
'Wilayah Persekutuan',Silty,73.6,6.8,5153.3,3.0,1,Lettuce
Selangor,Sandy,106.2,22.4,11336.3,3.4,1,Chili
Kedah,Clay,206.1,28.9,10463.2,9.1,1,Corn
Perlis,Clay,276.0,14.3,15145.7,10.6,0,Paddy
Kelantan,Loam,118.7,29.1,15902.6,5.7,2,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
'Pulau Pinang',Clay,180.8,20.0,8505.7,5.1,1,Tomato
Terengganu,Sandy,108.0,19.9,10281.5,3.5,2,Chili
Selangor,Loam,190.8,20.4,9900.9,12.9,1,Corn
Melaka,Clay,168.4,24.5,11284.2,3.8,1,Tomato
Terengganu,Clay,266.1,22.5,9094.9,5.3,2,Paddy
Pahang,Loam,123.2,34.0,20128.0,9.8,2,Durian
Pahang,Loam,120.3,22.0,21576.7,7.6,2,Durian
Perlis,Clay,277.5,28.5,13341.7,6.2,0,Paddy
Terengganu,Sandy,178.3,10.1,10111.7,2.9,2,Chili
Sarawak,Silty,89.0,8.5,8031.0,3.0,2,Lettuce
Perlis,Clay,233.6,29.0,15802.4,6.7,0,Paddy
Pahang,Clay,123.9,23.8,13979.3,5.1,2,Durian
Terengganu,Sandy,114.2,22.7,12972.1,3.8,2,Chili
Kedah,Clay,225.3,27.5,7110.6,4.4,1,Paddy
Perak,Clay,312.8,23.7,12788.4,6.5,2,Paddy
Perlis,Sandy,125.1,15.6,13403.3,5.7,0,Chili
Johor,Loam,87.9,9.7,4709.4,2.3,2,Lettuce
'Negeri Sembilan',Silty,118.4,15.4,8769.3,1.7,1,Lettuce
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Pahang,Silty,109.5,5.2,6756.0,2.4,2,Lettuce
Pahang,Loam,127.0,18.5,12657.3,7.6,2,Durian
Selangor,Sandy,168.6,16.1,12395.0,3.5,1,Chili
Sabah,Silty,102.4,12.0,6249.9,2.9,2,Lettuce
'Negeri Sembilan',Clay,124.6,25.7,19860.1,7.2,1,Durian
Terengganu,Clay,270.6,28.6,13130.6,5.9,2,Paddy
Terengganu,Clay,142.0,27.4,21484.3,9.1,2,Durian
Kelantan,Sandy,134.2,13.3,9516.4,4.9,2,Chili
Terengganu,Sandy,159.4,19.1,8965.4,5.6,2,Chili
Terengganu,Sandy,143.3,11.9,6808.8,3.1,2,Chili
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Sarawak,Clay,196.3,23.2,9049.6,7.7,2,Corn
Melaka,Loam,115.6,6.6,6228.0,2.0,1,Lettuce
Selangor,Sandy,109.6,17.2,8338.7,4.3,1,Chili
Terengganu,Sandy,155.7,22.7,5516.2,5.2,2,Chili
Pahang,Loam,111.7,23.3,21852.3,8.1,2,Durian
Kedah,Loam,239.6,25.1,15539.1,11.6,1,Paddy
Sarawak,Clay,209.7,22.6,11043.7,12.4,2,Corn
Kedah,Clay,311.5,22.6,10456.3,11.7,1,Paddy
'Negeri Sembilan',Loam,167.2,16.1,8567.9,6.0,1,Tomato
'Negeri Sembilan',Loam,184.0,24.7,10107.0,5.6,1,Tomato
'Wilayah Persekutuan',Loam,110.2,10.2,3527.1,3.0,1,Lettuce
Kedah,Clay,289.7,13.8,9574.8,8.3,1,Paddy
'Pulau Pinang',Clay,200.6,24.8,8641.0,5.5,1,Tomato
Perak,Loam,185.1,21.3,11227.0,4.0,2,Tomato
Terengganu,Clay,261.5,24.7,12057.8,11.1,2,Paddy
Melaka,Loam,195.1,21.7,8092.4,4.1,1,Tomato
Kelantan,Sandy,129.4,14.6,8477.1,4.3,2,Chili
Kelantan,Sandy,122.7,10.0,8175.3,4.8,2,Chili
Melaka,Silty,89.1,14.4,5875.4,2.1,1,Lettuce
Kedah,Loam,197.3,24.8,11146.1,9.4,1,Corn
Kelantan,Sandy,175.6,20.8,8943.6,3.0,2,Chili
Melaka,Clay,158.5,16.0,7597.7,4.4,1,Tomato
Sarawak,Loam,184.7,20.8,10424.9,11.8,2,Corn
Kedah,Loam,235.1,26.8,12625.8,7.8,1,Paddy
Kelantan,Sandy,175.9,17.5,6735.3,3.0,2,Chili
'Pulau Pinang',Clay,193.6,13.1,10723.3,5.5,1,Tomato
Pahang,Loam,206.6,28.7,8981.3,10.0,2,Corn
Selangor,Loam,190.3,27.9,10263.6,12.8,1,Corn
Pahang,Loam,135.8,19.1,18480.6,5.2,2,Durian
Perlis,Sandy,106.6,17.2,6267.9,2.7,0,Chili
Perlis,Sandy,153.0,22.0,12054.2,3.4,0,Chili
Melaka,Loam,160.1,25.9,7956.3,4.0,1,Tomato
Sabah,Loam,92.0,10.2,5128.6,2.3,2,Lettuce
Sabah,Loam,140.3,20.0,9938.9,4.6,2,Papaya
Perak,Loam,178.7,23.7,10305.3,4.8,2,Tomato
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Pahang,Clay,137.6,30.5,17644.0,5.2,2,Durian
Pahang,Clay,129.9,18.4,17504.1,5.9,2,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Johor,Loam,74.4,7.8,3811.5,3.0,2,Lettuce
Perak,Loam,180.4,13.5,7874.8,4.4,2,Tomato
Pahang,Loam,118.8,15.3,8199.5,5.7,2,Papaya
Terengganu,Loam,128.9,18.8,13414.8,7.4,2,Durian
Pahang,Loam,130.2,34.9,20739.4,5.9,2,Durian
Selangor,Sandy,108.3,24.9,7866.8,4.1,1,Chili
'Negeri Sembilan',Loam,101.2,9.4,3562.2,2.2,1,Lettuce
Pahang,Silty,93.8,6.7,3433.1,1.7,2,Lettuce
Terengganu,Clay,339.7,23.3,14507.0,6.1,2,Paddy
Perak,Silty,82.5,14.3,4394.5,2.3,2,Lettuce
Pahang,Loam,126.4,12.6,9161.0,3.7,2,Papaya
Perak,Loam,187.8,19.0,10186.7,4.7,2,Tomato
Pahang,Loam,171.0,18.7,9571.0,10.1,2,Corn
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Terengganu,Sandy,183.7,21.5,6708.5,3.1,2,Chili
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Kedah,Silty,81.7,5.3,9189.6,2.6,1,Lettuce
Johor,Loam,126.0,30.8,13638.8,5.4,2,Durian
Kedah,Loam,282.1,18.9,10840.0,6.8,1,Paddy
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Johor,Sandy,149.5,18.5,8582.3,5.1,2,Chili
'Wilayah Persekutuan',Silty,91.5,14.8,5896.7,3.2,1,Lettuce
Pahang,Loam,134.0,33.3,17075.7,6.1,2,Durian
Kedah,Clay,250.9,20.1,14192.8,4.3,1,Paddy
Pahang,Loam,126.0,18.9,17595.4,5.5,2,Durian
Kedah,Clay,334.5,23.7,8695.2,8.1,1,Paddy
Melaka,Clay,159.3,18.9,10186.8,4.5,1,Tomato
Johor,Silty,83.3,6.4,5946.7,1.7,2,Lettuce
Kedah,Clay,292.4,28.5,7674.9,12.0,1,Paddy
Melaka,Clay,154.6,23.5,9030.2,3.9,1,Tomato
Pahang,Loam,132.9,30.9,20108.1,8.1,2,Durian
Kedah,Clay,306.8,13.7,15291.5,11.2,1,Paddy
Perlis,Clay,252.2,17.7,13642.9,6.9,0,Paddy
Kelantan,Loam,255.5,14.2,8418.5,9.5,2,Paddy
Perak,Silty,94.8,12.3,5803.2,3.0,2,Lettuce
Perlis,Sandy,104.6,22.3,5046.6,4.7,0,Chili
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Sarawak,Clay,171.3,21.1,8884.4,7.5,2,Corn
Perlis,Sandy,118.3,22.9,8654.8,4.3,0,Chili
Sabah,Loam,126.1,18.4,10454.9,4.7,2,Papaya
Kelantan,Clay,130.9,31.0,15637.4,9.2,2,Durian
Selangor,Clay,169.1,14.0,11152.5,5.2,1,Tomato
Selangor,Loam,119.5,10.8,7268.6,2.2,1,Lettuce
Terengganu,Silty,113.8,9.0,6512.6,2.0,2,Lettuce
Johor,Loam,131.0,15.2,6267.6,4.0,2,Papaya
Pahang,Clay,147.6,21.0,17671.3,5.9,2,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Kelantan,Sandy,169.0,15.9,8445.7,4.8,2,Chili
Perak,Clay,227.3,20.6,9985.6,8.9,2,Paddy
Pahang,Loam,153.6,16.8,10460.5,4.4,2,Papaya
Terengganu,Loam,125.5,24.9,12579.0,9.6,2,Durian
Selangor,Sandy,135.2,22.4,7138.8,3.0,1,Chili
Melaka,Clay,162.1,19.6,9672.9,4.5,1,Tomato
Pahang,Loam,131.4,19.6,6244.7,4.4,2,Papaya
'Pulau Pinang',Silty,102.3,9.7,5532.8,2.2,1,Lettuce
Terengganu,Clay,125.5,23.8,15835.4,8.4,2,Durian
Johor,Loam,168.7,17.9,6461.1,5.6,2,Papaya
Perak,Clay,152.3,16.4,8852.3,5.2,2,Tomato
Terengganu,Loam,271.7,21.6,15681.7,5.7,2,Paddy
Melaka,Silty,74.5,15.8,8322.6,2.9,1,Lettuce
Perlis,Clay,301.8,13.5,10094.1,8.3,0,Paddy
'Pulau Pinang',Loam,195.4,26.8,11422.9,5.1,1,Tomato
'Negeri Sembilan',Clay,118.2,30.5,17355.8,7.0,1,Durian
Selangor,Silty,90.5,12.2,4080.5,2.4,1,Lettuce
Pahang,Loam,172.7,19.2,10987.9,3.8,2,Papaya
Johor,Clay,127.7,32.9,18101.2,9.3,2,Durian
'Negeri Sembilan',Loam,92.6,5.6,8821.9,1.7,1,Lettuce
Johor,Loam,122.7,23.8,15559.2,5.5,2,Durian
Sarawak,Loam,163.3,20.9,10828.6,3.9,2,Papaya
Perak,Loam,160.9,26.1,9192.6,4.3,2,Tomato
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Terengganu,Loam,122.6,18.9,13994.9,8.0,2,Durian
Sarawak,Clay,172.6,30.9,8592.4,11.2,2,Corn
Pahang,Loam,188.0,23.4,8482.5,9.0,2,Corn
'Negeri Sembilan',Loam,175.5,14.6,10001.2,5.8,1,Tomato
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Perlis,Sandy,99.0,23.9,8173.0,6.5,0,Chili
Kelantan,Sandy,173.9,21.0,13827.4,4.4,2,Chili
Sabah,Silty,108.2,6.9,6632.7,2.4,2,Lettuce
Kedah,Clay,180.5,16.3,11479.4,12.6,1,Corn
Selangor,Silty,118.2,11.6,4052.6,1.7,1,Lettuce
'Negeri Sembilan',Loam,90.4,8.7,7185.2,3.1,1,Lettuce
Kelantan,Clay,263.9,26.3,9798.5,10.7,2,Paddy
Terengganu,Clay,298.7,21.7,8374.1,4.7,2,Paddy
Pahang,Clay,137.6,24.8,21587.6,9.3,2,Durian
Kedah,Loam,289.6,22.7,9544.1,9.5,1,Paddy
Kedah,Clay,203.9,17.3,10841.6,7.9,1,Corn
Terengganu,Sandy,137.4,21.5,6499.8,4.3,2,Chili
Kelantan,Sandy,124.7,21.5,11607.8,5.9,2,Chili
Terengganu,Sandy,156.0,17.2,11121.0,3.9,2,Chili
Kedah,Clay,171.9,29.2,10218.7,11.3,1,Corn
Kelantan,Clay,284.5,26.8,9333.2,7.0,2,Paddy
Pahang,Loam,140.1,10.8,8369.9,3.6,2,Papaya
Terengganu,Clay,127.7,29.0,14160.6,9.9,2,Durian
Kelantan,Loam,114.3,30.1,14967.8,6.8,2,Durian
Selangor,Loam,180.0,16.0,9000.0,5.0,1,Tomato
Johor,Silty,77.9,11.8,7717.8,2.0,2,Lettuce
Perak,Loam,188.9,15.2,10275.1,9.4,2,Corn
'Negeri Sembilan',Silty,119.8,9.8,8699.7,3.4,1,Lettuce
Sarawak,Silty,115.8,8.4,7592.4,2.8,2,Lettuce
Kelantan,Loam,115.7,15.4,9771.7,2.1,2,Lettuce
Sarawak,Loam,176.0,13.8,10825.2,6.4,2,Papaya
Perlis,Sandy,103.7,24.6,12350.3,6.0,0,Chili
Terengganu,Loam,314.0,17.6,7777.5,7.7,2,Paddy
Perlis,Silty,85.1,8.0,3393.2,2.5,0,Lettuce
Perak,Loam,264.6,22.2,9894.4,6.2,2,Paddy
Melaka,Clay,153.4,15.8,9350.5,5.9,1,Tomato
Melaka,Clay,184.8,18.5,9713.9,4.6,1,Tomato
Pahang,Clay,126.4,28.4,20437.0,7.6,2,Durian
Johor,Sandy,157.0,13.7,11648.2,5.9,2,Chili
Johor,Clay,141.5,23.1,20616.1,6.4,2,Durian
Perak,Loam,330.5,12.2,13303.7,8.7,2,Paddy
Selangor,Loam,180.5,15.5,8365.9,9.2,1,Corn
Pahang,Loam,131.9,10.3,8622.2,3.3,2,Papaya
Perak,Clay,179.6,23.6,7683.3,4.3,2,Tomato
Kedah,Loam,91.5,8.1,7749.4,2.5,1,Lettuce
Johor,Clay,132.6,17.7,15956.7,5.1,2,Durian
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Perak,Clay,172.9,25.4,9869.9,4.6,2,Tomato
Perak,Clay,173.6,27.1,8694.5,4.7,2,Tomato
Selangor,Loam,171.1,30.0,9440.6,6.9,1,Corn
Kelantan,Sandy,163.5,10.7,8278.7,5.4,2,Chili
Johor,Sandy,134.4,16.3,8365.7,4.0,2,Chili
Kelantan,Clay,336.8,30.0,13983.0,9.9,2,Paddy
Selangor,Loam,185.6,17.7,8023.7,9.1,1,Corn
Selangor,Silty,100.0,8.0,5000.0,2.5,1,Lettuce
Sarawak,Loam,143.6,21.0,7725.7,3.6,2,Papaya
Johor,Loam,150.0,14.0,8000.0,4.0,2,Papaya
Selangor,Sandy,98.6,15.4,11896.8,3.0,1,Chili
Pahang,Loam,209.5,23.4,8462.6,7.0,2,Corn
Kelantan,Sandy,134.9,22.7,9114.0,2.9,2,Chili
Pahang,Clay,128.4,18.0,16547.7,7.9,2,Durian
Kelantan,Sandy,124.4,22.9,9221.1,5.8,2,Chili
