@relation fertilizer_plan

@attribute location {Johor,Kedah,Kelantan,Melaka,'Negeri Sembilan',Pahang,Perak,Perlis,'Pulau Pinang',Sabah,Sarawak,Selangor,Terengganu,'Wilayah Persekutuan'}
@attribute soil {Clay,Loam,Sandy,Silty}
@attribute crop {Tomato,Lettuce,Chili,Corn,Paddy,Papaya,Durian}
@attribute water numeric
@attribute fertilizerStock numeric
@attribute plan {Low,Medium,High}

@data
Johor,Silty,Chili,83.5,17.9,Medium
Johor,Silty,Corn,294.7,22.4,Medium
Johor,Silty,Corn,295.1,31.1,Low
Johor,Silty,Corn,76.5,21.3,Medium
Johor,Silty,Paddy,175.3,30.4,Low
Johor,Silty,Paddy,293.6,4.4,High
Johor,Silty,Paddy,252.9,25.2,Low
Johor,Silty,Papaya,304.0,12.9,Medium
Johor,Silty,Papaya,118.6,23.8,Low
Johor,Silty,Papaya,196.8,21.5,Low
Johor,Silty,Durian,328.7,11.7,High
Johor,Silty,Durian,189.2,20.9,Medium
Johor,Silty,Durian,215.3,30.4,Low
Kedah,Clay,Tomato,265.3,37.1,Low
Kedah,Clay,Tomato,179.2,5.9,High
Kedah,Clay,Tomato,95.6,3.5,High
Kedah,Clay,Lettuce,205.6,7.5,Medium
Kedah,Clay,Lettuce,115.3,35.2,Low
Kedah,Clay,Lettuce,91.8,35.8,Low
Kedah,Clay,Chili,198.7,26.2,Low
Kedah,Clay,Chili,206.9,8.2,Medium
Kedah,Clay,Chili,304.8,18.5,Medium
Kedah,Clay,Corn,62.6,7.4,High
Kedah,Clay,Corn,338.8,29.6,Low
Kedah,Clay,Corn,306.5,13.0,Medium
Kedah,Clay,Paddy,150.3,35.9,Low
Kedah,Clay,Paddy,217.9,9.1,Medium
Kedah,Clay,Paddy,141.3,28.3,Low
Kedah,Clay,Papaya,284.8,38.2,Low
Kedah,Clay,Papaya,164.0,25.4,Low
Kedah,Clay,Papaya,192.2,10.8,Medium
Kedah,Clay,Durian,152.4,30.6,Low
Kedah,Clay,Durian,338.9,37.3,Low
Kedah,Clay,Durian,106.0,29.5,Medium
Kedah,Loam,Tomato,192.7,14.8,Medium
Kedah,Loam,Tomato,110.2,20.4,Medium
Kedah,Loam,Tomato,338.1,3.2,High
Kedah,Loam,Lettuce,256.4,10.4,Medium
Kedah,Loam,Lettuce,86.3,20.0,Medium
Kedah,Loam,Lettuce,86.5,26.1,Low
Kedah,Loam,Chili,226.4,5.5,High
Kedah,Loam,Chili,238.2,35.7,Low
Kedah,Loam,Chili,156.6,3.5,High
Kedah,Loam,Corn,113.9,13.5,Medium
Kedah,Loam,Corn,315.2,18.8,Medium
Kedah,Loam,Corn,264.2,16.6,Medium
Kedah,Loam,Paddy,274.8,37.6,Low
Kedah,Loam,Paddy,217.1,26.7,Low
Kedah,Loam,Paddy,116.7,24.9,Medium
Kedah,Loam,Papaya,88.8,11.0,Medium
Kedah,Loam,Papaya,109.9,23.9,Medium
Kedah,Loam,Papaya,95.5,22.3,Medium
Kedah,Loam,Durian,240.6,17.2,Medium
Kedah,Loam,Durian,221.2,34.6,Low
Kedah,Loam,Durian,229.3,38.8,Low
Kedah,Sandy,Tomato,266.4,25.8,Medium
Kedah,Sandy,Tomato,314.6,10.7,High
Kedah,Sandy,Tomato,60.7,11.6,High
Kedah,Sandy,Lettuce,120.6,37.4,Low
Kedah,Sandy,Lettuce,232.2,8.3,High
Kedah,Sandy,Lettuce,193.1,3.0,High
Kedah,Sandy,Chili,81.8,38.9,Medium
Kedah,Sandy,Chili,98.4,32.9,Medium
Kedah,Sandy,Chili,179.1,20.5,High
Kedah,Sandy,Corn,144.7,31.1,Medium
Kedah,Sandy,Corn,127.4,17.6,High
Kedah,Sandy,Corn,276.7,29.1,Medium
Kedah,Sandy,Paddy,159.4,34.0,Medium
Kedah,Sandy,Paddy,148.8,5.9,High
Kedah,Sandy,Paddy,229.5,10.9,High
Kedah,Sandy,Papaya,106.5,26.4,Medium
Kedah,Sandy,Papaya,137.8,8.3,High
Kedah,Sandy,Papaya,182.4,19.3,Medium
Kedah,Sandy,Durian,254.6,12.3,High
Kedah,Sandy,Durian,93.7,36.3,High
Kedah,Sandy,Durian,242.6,9.6,High
Kedah,Silty,Tomato,302.5,34.6,Low
Kedah,Silty,Tomato,275.8,15.8,Medium
Kedah,Silty,Tomato,178.7,25.8,Low
Kedah,Silty,Lettuce,305.4,37.1,Low
Kedah,Silty,Lettuce,113.5,16.8,Low
Kedah,Silty,Lettuce,321.3,39.8,Low
Kedah,Silty,Chili,114.8,16.4,Medium
Kedah,Silty,Chili,114.6,24.7,Medium
Kedah,Silty,Chili,152.0,36.7,Low
Kedah,Silty,Corn,316.4,21.6,Medium
Kedah,Silty,Corn,63.6,13.1,High
Kedah,Silty,Corn,241.2,26.7,Low
Kedah,Silty,Paddy,171.5,39.8,Low
Kedah,Silty,Paddy,257.2,13.1,Medium
Kedah,Silty,Paddy,76.0,24.2,High
Kedah,Silty,Papaya,68.5,29.6,Low
Kedah,Silty,Papaya,191.8,25.5,Low
Kedah,Silty,Papaya,187.3,9.4,Medium
Kedah,Silty,Durian,270.0,27.0,Low
Kedah,Silty,Durian,212.8,6.8,High
Kedah,Silty,Durian,163.5,25.7,Low
Kelantan,Clay,Tomato,259.7,29.1,Low
Kelantan,Clay,Tomato,109.5,34.5,Low
Kelantan,Clay,Tomato,83.2,33.9,Low
Kelantan,Clay,Lettuce,93.4,19.4,Medium
Kelantan,Clay,Lettuce,259.0,14.6,Medium
Kelantan,Clay,Lettuce,300.2,13.3,Medium
Kelantan,Clay,Chili,298.7,27.2,Low
Kelantan,Clay,Chili,266.5,15.3,Medium
Kelantan,Clay,Chili,248.2,36.3,Low
Kelantan,Clay,Corn,311.4,9.3,Medium
Kelantan,Clay,Corn,336.2,29.7,Low
Kelantan,Clay,Corn,162.6,3.5,High
Kelantan,Clay,Paddy,246.1,18.4,Medium
Kelantan,Clay,Paddy,247.0,5.3,High
Kelantan,Clay,Paddy,114.0,31.2,Low
Kelantan,Clay,Papaya,101.3,12.9,Medium
Kelantan,Clay,Papaya,108.3,4.6,High
Kelantan,Clay,Papaya,230.4,28.5,Low
Kelantan,Clay,Durian,174.6,26.5,Low
Kelantan,Clay,Durian,295.8,37.8,Low
Kelantan,Clay,Durian,147.1,23.7,Medium
Kelantan,Loam,Tomato,93.0,20.3,Medium
Kelantan,Loam,Tomato,294.1,6.2,High
Kelantan,Loam,Tomato,320.5,6.3,High
Kelantan,Loam,Lettuce,317.0,9.8,Medium
Kelantan,Loam,Lettuce,84.2,14.7,Medium
Kelantan,Loam,Lettuce,235.5,3.7,Medium
Kelantan,Loam,Chili,107.4,3.4,High
Kelantan,Loam,Chili,238.6,20.0,Medium
Kelantan,Loam,Chili,305.6,37.9,Low
Kelantan,Loam,Corn,146.2,28.2,Low
Kelantan,Loam,Corn,323.9,35.0,Low
Kelantan,Loam,Corn,269.3,30.3,Low
Kelantan,Loam,Paddy,146.9,17.0,Medium
Kelantan,Loam,Paddy,140.4,13.3,High
Kelantan,Loam,Paddy,218.2,18.3,Medium
Kelantan,Loam,Papaya,293.9,13.1,Medium
Kelantan,Loam,Papaya,115.8,39.2,Low
Kelantan,Loam,Papaya,132.6,19.3,Low
Kelantan,Loam,Durian,85.9,16.1,High
Kelantan,Loam,Durian,161.8,31.6,Low
Kelantan,Loam,Durian,206.5,33.7,Low
Kelantan,Sandy,Tomato,252.4,9.3,High
Kelantan,Sandy,Tomato,325.9,24.7,High
Kelantan,Sandy,Tomato,103.6,24.0,High
Kelantan,Sandy,Lettuce,338.3,19.1,Medium
Kelantan,Sandy,Lettuce,240.9,28.2,Low
Kelantan,Sandy,Lettuce,140.8,15.7,Medium
Kelantan,Sandy,Chili,331.2,23.4,High
Kelantan,Sandy,Chili,268.1,13.0,High
Kelantan,Sandy,Chili,203.7,10.8,High
Kelantan,Sandy,Corn,121.1,12.7,High
Kelantan,Sandy,Corn,318.1,22.1,High
Kelantan,Sandy,Corn,236.7,20.6,High
Kelantan,Sandy,Paddy,190.8,15.0,High
Kelantan,Sandy,Paddy,217.9,27.4,Medium
Kelantan,Sandy,Paddy,312.4,14.9,High
Kelantan,Sandy,Papaya,89.3,16.3,High
Kelantan,Sandy,Papaya,312.3,8.9,High
Kelantan,Sandy,Papaya,193.1,15.5,Medium
Kelantan,Sandy,Durian,312.8,9.9,High
Kelantan,Sandy,Durian,160.2,9.0,High
Kelantan,Sandy,Durian,213.1,30.8,Medium
Kelantan,Silty,Tomato,182.9,25.8,Low
Kelantan,Silty,Tomato,226.2,28.7,Low
Kelantan,Silty,Tomato,264.7,20.5,Medium
Kelantan,Silty,Lettuce,128.2,29.8,Low
Kelantan,Silty,Lettuce,228.3,20.9,Low
Kelantan,Silty,Lettuce,172.3,4.5,Medium
Kelantan,Silty,Chili,320.1,11.7,Medium
Kelantan,Silty,Chili,321.7,37.3,Low
Kelantan,Silty,Chili,90.2,18.8,Medium
Kelantan,Silty,Corn,135.4,24.4,Medium
Kelantan,Silty,Corn,226.1,9.1,Medium
Kelantan,Silty,Corn,106.6,14.1,High
Kelantan,Silty,Paddy,227.1,28.8,Low
Kelantan,Silty,Paddy,206.7,38.2,Low
Kelantan,Silty,Paddy,219.0,8.2,Medium
Kelantan,Silty,Papaya,245.8,32.2,Low
Kelantan,Silty,Papaya,75.1,6.3,High
Kelantan,Silty,Papaya,282.0,8.2,Medium
Kelantan,Silty,Durian,156.9,17.7,Medium
Kelantan,Silty,Durian,189.0,27.4,Low
Kelantan,Silty,Durian,116.1,9.4,High
Melaka,Clay,Tomato,146.1,9.8,Medium
Melaka,Clay,Tomato,300.2,19.2,Medium
Melaka,Clay,Tomato,262.8,8.7,Medium
Melaka,Clay,Lettuce,215.5,31.7,Low
Melaka,Clay,Lettuce,61.4,8.9,Medium
Melaka,Clay,Lettuce,88.0,23.3,Medium
Melaka,Clay,Chili,170.3,10.9,Medium
Melaka,Clay,Chili,192.2,16.9,Medium
Melaka,Clay,Chili,189.8,12.0,Medium
Melaka,Clay,Corn,316.7,17.3,Medium
Melaka,Clay,Corn,149.1,37.6,Low
Melaka,Clay,Corn,172.0,15.1,Medium
Melaka,Clay,Paddy,139.3,28.0,Low
Melaka,Clay,Paddy,304.4,25.1,Low
Melaka,Clay,Paddy,209.6,15.8,Medium
Melaka,Clay,Papaya,247.6,38.9,Low
Melaka,Clay,Papaya,67.5,35.8,Low
Melaka,Clay,Papaya,109.9,11.7,Medium
Melaka,Clay,Durian,161.4,21.6,Medium
Melaka,Clay,Durian,60.4,25.2,Medium
Melaka,Clay,Durian,171.5,5.9,High
Melaka,Loam,Tomato,124.4,21.5,Medium
Melaka,Loam,Tomato,72.4,14.2,High
Melaka,Loam,Tomato,86.0,17.2,Medium
Melaka,Loam,Lettuce,110.4,8.6,Medium
Melaka,Loam,Lettuce,147.1,28.0,Low
Melaka,Loam,Lettuce,194.6,12.7,Medium
Melaka,Loam,Chili,327.4,9.6,Medium
Melaka,Loam,Chili,171.5,22.1,Medium
Melaka,Loam,Chili,89.8,32.8,Low
Melaka,Loam,Corn,157.0,30.1,Low
Melaka,Loam,Corn,243.6,18.0,Medium
Melaka,Loam,Corn,285.9,9.0,Medium
Melaka,Loam,Paddy,96.0,21.8,High
Melaka,Loam,Paddy,252.2,3.4,High
Melaka,Loam,Paddy,243.1,27.8,Low
Melaka,Loam,Papaya,178.3,5.0,Medium
Melaka,Loam,Papaya,179.0,30.5,Low
Melaka,Loam,Papaya,92.5,32.9,Low
Melaka,Loam,Durian,314.3,21.6,Medium
Melaka,Loam,Durian,278.7,29.3,Low
Melaka,Loam,Durian,296.4,39.0,Low
Melaka,Sandy,Tomato,91.3,9.6,High
Melaka,Sandy,Tomato,178.7,31.1,Medium
Melaka,Sandy,Tomato,303.7,6.0,High
Melaka,Sandy,Lettuce,61.9,38.1,Medium
Melaka,Sandy,Lettuce,258.1,12.5,High
Melaka,Sandy,Lettuce,204.2,25.7,Low
Melaka,Sandy,Chili,304.2,19.1,High
Melaka,Sandy,Chili,190.1,4.5,High
Melaka,Sandy,Chili,303.0,20.0,High
Melaka,Sandy,Corn,74.0,25.2,Medium
Melaka,Sandy,Corn,163.4,18.8,High
Melaka,Sandy,Corn,249.0,31.4,Medium
Melaka,Sandy,Paddy,66.6,12.9,High
Melaka,Sandy,Paddy,142.1,18.4,High
Melaka,Sandy,Paddy,185.1,14.0,High
Melaka,Sandy,Papaya,70.0,7.1,High
Melaka,Sandy,Papaya,264.9,22.7,Medium
Melaka,Sandy,Papaya,170.9,9.5,High
Melaka,Sandy,Durian,209.8,7.7,High
Melaka,Sandy,Durian,100.5,21.3,High
Melaka,Sandy,Durian,310.0,15.8,High
Melaka,Silty,Tomato,188.2,25.8,Low
Melaka,Silty,Tomato,317.3,36.4,Low
Melaka,Silty,Tomato,321.0,33.4,Low
Melaka,Silty,Lettuce,219.3,4.5,Medium
Melaka,Silty,Lettuce,151.4,4.4,Medium
Melaka,Silty,Lettuce,230.6,29.8,Low
Melaka,Silty,Chili,287.5,6.7,High
Melaka,Silty,Chili,203.5,29.8,Low
Melaka,Silty,Chili,154.6,26.6,Low
Melaka,Silty,Corn,144.6,17.8,Medium
Melaka,Silty,Corn,111.5,30.6,Low
Melaka,Silty,Corn,262.0,30.5,Low
Melaka,Silty,Paddy,82.2,36.8,Medium
Melaka,Silty,Paddy,330.2,32.4,Low
Melaka,Silty,Paddy,219.9,39.8,Low
Melaka,Silty,Papaya,232.4,22.9,Low
Melaka,Silty,Papaya,282.2,28.7,Low
Melaka,Silty,Papaya,73.7,24.2,Medium
Melaka,Silty,Durian,120.3,37.6,Low
Melaka,Silty,Durian,136.9,28.5,Low
Melaka,Silty,Durian,112.0,21.6,Medium
'Negeri Sembilan',Clay,Tomato,72.8,17.8,Medium
'Negeri Sembilan',Clay,Tomato,110.8,13.5,Medium
'Negeri Sembilan',Clay,Tomato,61.4,10.7,High
'Negeri Sembilan',Clay,Lettuce,279.0,27.3,Low
'Negeri Sembilan',Clay,Lettuce,136.9,20.1,Low
'Negeri Sembilan',Clay,Lettuce,281.3,26.5,Low
'Negeri Sembilan',Clay,Chili,87.2,11.3,High
'Negeri Sembilan',Clay,Chili,258.5,11.2,Medium
'Negeri Sembilan',Clay,Chili,231.2,29.9,Low
'Negeri Sembilan',Clay,Corn,230.6,20.0,Medium
'Negeri Sembilan',Clay,Corn,177.8,25.0,Low
'Negeri Sembilan',Clay,Corn,211.6,20.6,Medium
'Negeri Sembilan',Clay,Paddy,216.1,15.7,Medium
'Negeri Sembilan',Clay,Paddy,149.5,33.4,Low
'Negeri Sembilan',Clay,Paddy,102.5,34.6,Medium
'Negeri Sembilan',Clay,Papaya,199.7,22.7,Low
'Negeri Sembilan',Clay,Papaya,107.6,17.4,Medium
'Negeri Sembilan',Clay,Papaya,172.8,27.4,Low
'Negeri Sembilan',Clay,Durian,220.0,5.9,High
'Negeri Sembilan',Clay,Durian,196.2,39.4,Low
'Negeri Sembilan',Clay,Durian,83.3,30.7,Medium
'Negeri Sembilan',Loam,Tomato,208.3,14.2,Medium
'Negeri Sembilan',Loam,Tomato,270.2,19.7,Medium
'Negeri Sembilan',Loam,Tomato,190.9,8.8,Medium
'Negeri Sembilan',Loam,Lettuce,223.8,26.1,Low
'Negeri Sembilan',Loam,Lettuce,218.2,18.4,Low
'Negeri Sembilan',Loam,Lettuce,274.2,30.8,Low
'Negeri Sembilan',Loam,Chili,139.5,30.5,Low
'Negeri Sembilan',Loam,Chili,337.1,16.9,Medium
'Negeri Sembilan',Loam,Chili,210.5,17.0,Medium
'Negeri Sembilan',Loam,Corn,325.7,7.6,High
'Negeri Sembilan',Loam,Corn,170.8,10.8,Medium
'Negeri Sembilan',Loam,Corn,91.0,13.7,High
'Negeri Sembilan',Loam,Paddy,302.2,31.4,Low
'Negeri Sembilan',Loam,Paddy,335.6,39.2,Low
'Negeri Sembilan',Loam,Paddy,214.0,16.0,Medium
'Negeri Sembilan',Loam,Papaya,121.0,36.3,Low
'Negeri Sembilan',Loam,Papaya,138.1,31.5,Low
'Negeri Sembilan',Loam,Papaya,236.5,27.6,Low
'Negeri Sembilan',Loam,Durian,252.3,26.4,Low
'Negeri Sembilan',Loam,Durian,238.1,21.6,Medium
'Negeri Sembilan',Loam,Durian,209.1,11.3,High
'Negeri Sembilan',Sandy,Tomato,173.1,31.0,Medium
'Negeri Sembilan',Sandy,Tomato,140.2,37.2,Medium
'Negeri Sembilan',Sandy,Tomato,104.0,35.3,Medium
'Negeri Sembilan',Sandy,Lettuce,172.0,3.1,High
'Negeri Sembilan',Sandy,Lettuce,292.4,31.2,Low
'Negeri Sembilan',Sandy,Lettuce,243.7,28.3,Low
'Negeri Sembilan',Sandy,Chili,87.5,24.5,High
'Negeri Sembilan',Sandy,Chili,177.1,18.5,High
'Negeri Sembilan',Sandy,Chili,112.9,4.1,High
'Negeri Sembilan',Sandy,Corn,122.8,25.6,Medium
'Negeri Sembilan',Sandy,Corn,200.9,6.0,High
'Negeri Sembilan',Sandy,Corn,219.8,18.1,High
'Negeri Sembilan',Sandy,Paddy,66.4,25.6,High
'Negeri Sembilan',Sandy,Paddy,106.6,26.1,High
'Negeri Sembilan',Sandy,Paddy,251.6,38.2,Medium
'Negeri Sembilan',Sandy,Papaya,66.4,25.2,Medium
'Negeri Sembilan',Sandy,Papaya,281.2,17.4,Medium
'Negeri Sembilan',Sandy,Papaya,203.2,10.1,High
'Negeri Sembilan',Sandy,Durian,315.7,19.9,High
'Negeri Sembilan',Sandy,Durian,262.5,11.9,High
'Negeri Sembilan',Sandy,Durian,192.2,29.4,Medium
'Negeri Sembilan',Silty,Tomato,115.9,7.9,High
'Negeri Sembilan',Silty,Tomato,78.1,4.1,High
'Negeri Sembilan',Silty,Tomato,221.7,20.0,Medium
'Negeri Sembilan',Silty,Lettuce,251.4,19.4,Low
'Negeri Sembilan',Silty,Lettuce,127.7,9.5,Medium
'Negeri Sembilan',Silty,Lettuce,189.2,26.7,Low
'Negeri Sembilan',Silty,Chili,285.0,34.0,Low
'Negeri Sembilan',Silty,Chili,304.2,36.6,Low
'Negeri Sembilan',Silty,Chili,128.6,29.7,Low
'Negeri Sembilan',Silty,Corn,79.6,30.7,Low
'Negeri Sembilan',Silty,Corn,251.0,18.0,Medium
'Negeri Sembilan',Silty,Corn,205.5,20.4,Medium
'Negeri Sembilan',Silty,Paddy,167.9,32.0,Low
'Negeri Sembilan',Silty,Paddy,328.1,35.7,Low
'Negeri Sembilan',Silty,Paddy,210.5,29.5,Low
'Negeri Sembilan',Silty,Papaya,230.0,39.6,Low
'Negeri Sembilan',Silty,Papaya,260.1,19.2,Low
'Negeri Sembilan',Silty,Papaya,291.8,5.2,Medium
'Negeri Sembilan',Silty,Durian,287.3,33.6,Low
'Negeri Sembilan',Silty,Durian,263.0,4.5,High
'Negeri Sembilan',Silty,Durian,171.8,37.3,Low
Pahang,Clay,Tomato,236.2,19.3,Medium
Pahang,Clay,Tomato,280.5,6.8,High
Pahang,Clay,Tomato,297.2,31.0,Low
Pahang,Clay,Lettuce,222.3,32.3,Low
Pahang,Clay,Lettuce,262.2,16.6,Low
Pahang,Clay,Lettuce,243.8,8.3,Medium
Pahang,Clay,Chili,128.1,20.9,Medium
Pahang,Clay,Chili,134.1,15.2,Medium
Pahang,Clay,Chili,254.2,20.0,Medium
Pahang,Clay,Corn,258.5,30.8,Low
Pahang,Clay,Corn,272.0,15.7,Medium
Pahang,Clay,Corn,253.0,15.2,Medium
Pahang,Clay,Paddy,186.1,12.5,High
Pahang,Clay,Paddy,137.1,4.3,High
Pahang,Clay,Paddy,99.2,22.3,High
Pahang,Clay,Papaya,67.3,35.6,Low
Pahang,Clay,Papaya,217.8,29.4,Low
Pahang,Clay,Papaya,145.9,29.5,Low
Pahang,Clay,Durian,218.9,14.3,High
Pahang,Clay,Durian,259.7,27.9,Low
Pahang,Clay,Durian,103.2,32.8,Medium
Pahang,Loam,Tomato,96.0,25.5,Low
Pahang,Loam,Tomato,300.6,12.5,Medium
Pahang,Loam,Tomato,123.8,34.5,Low
Pahang,Loam,Lettuce,223.3,8.5,Medium
Pahang,Loam,Lettuce,63.4,16.5,Medium
Pahang,Loam,Lettuce,202.4,35.2,Low
Pahang,Loam,Chili,204.7,20.6,Medium
Pahang,Loam,Chili,312.0,39.0,Low
Pahang,Loam,Chili,240.3,24.7,Medium
Pahang,Loam,Corn,200.3,22.4,Medium
Pahang,Loam,Corn,165.8,37.3,Low
Pahang,Loam,Corn,241.5,35.2,Low
Pahang,Loam,Paddy,195.0,20.9,Medium
Pahang,Loam,Paddy,166.4,27.7,Low
Pahang,Loam,Paddy,78.1,11.3,High
Pahang,Loam,Papaya,117.8,8.6,Medium
Pahang,Loam,Papaya,230.4,30.0,Low
Pahang,Loam,Papaya,93.5,10.3,Medium
Pahang,Loam,Durian,199.7,24.1,Medium
Pahang,Loam,Durian,238.8,3.5,High
Pahang,Loam,Durian,269.0,33.3,Low
Pahang,Sandy,Tomato,280.6,36.2,Medium
Pahang,Sandy,Tomato,267.6,16.5,High
Pahang,Sandy,Tomato,69.2,26.2,Medium
Pahang,Sandy,Lettuce,326.6,21.8,Medium
Pahang,Sandy,Lettuce,136.0,38.6,Low
Pahang,Sandy,Lettuce,297.0,22.9,Medium
Pahang,Sandy,Chili,82.2,32.5,Medium
Pahang,Sandy,Chili,185.1,22.3,High
Pahang,Sandy,Chili,128.5,32.5,Medium
Pahang,Sandy,Corn,111.2,37.6,Medium
Pahang,Sandy,Corn,300.1,11.4,High
Pahang,Sandy,Corn,260.9,9.6,High
Pahang,Sandy,Paddy,334.2,12.8,High
Pahang,Sandy,Paddy,137.7,30.5,Medium
Pahang,Sandy,Paddy,265.3,36.9,Medium
Pahang,Sandy,Papaya,313.7,7.9,High
Pahang,Sandy,Papaya,144.8,10.7,High
Pahang,Sandy,Papaya,128.3,31.2,Low
Pahang,Sandy,Durian,193.6,6.6,High
Pahang,Sandy,Durian,306.9,4.9,High
Pahang,Sandy,Durian,281.2,5.7,High
Pahang,Silty,Tomato,193.9,19.4,Medium
Pahang,Silty,Tomato,193.3,6.7,High
Pahang,Silty,Tomato,225.0,25.1,Low
Pahang,Silty,Lettuce,144.0,3.4,Medium
Pahang,Silty,Lettuce,180.3,36.5,Low
Pahang,Silty,Lettuce,261.6,19.4,Low
Pahang,Silty,Chili,239.9,24.8,Medium
Pahang,Silty,Chili,237.8,31.0,Low
Pahang,Silty,Chili,337.8,12.3,Medium
Pahang,Silty,Corn,174.0,13.0,Medium
Pahang,Silty,Corn,236.7,15.2,Medium
Pahang,Silty,Corn,195.3,13.5,Medium
Pahang,Silty,Paddy,240.7,12.8,Medium
Pahang,Silty,Paddy,209.0,15.6,Medium
Pahang,Silty,Paddy,249.8,21.6,Medium
Pahang,Silty,Papaya,235.3,7.1,Medium
Pahang,Silty,Papaya,271.9,9.7,Medium
Pahang,Silty,Papaya,61.8,36.1,Low
Pahang,Silty,Durian,202.7,21.3,Medium
Pahang,Silty,Durian,110.1,31.1,Low
Pahang,Silty,Durian,248.4,6.5,High
Perak,Clay,Tomato,301.4,15.7,Medium
Perak,Clay,Tomato,252.3,33.4,Low
Perak,Clay,Tomato,114.2,7.0,High
Perak,Clay,Lettuce,124.9,14.4,Medium
Perak,Clay,Lettuce,145.5,31.4,Low
Perak,Clay,Lettuce,192.1,28.3,Low
Perak,Clay,Chili,319.7,10.8,Medium
Perak,Clay,Chili,248.1,15.0,Medium
Perak,Clay,Chili,113.7,17.7,Medium
Perak,Clay,Corn,108.1,8.8,High
Perak,Clay,Corn,245.5,15.1,Medium
Perak,Clay,Corn,204.6,20.5,Medium
Perak,Clay,Paddy,226.7,18.4,Medium
Perak,Clay,Paddy,263.4,11.5,Medium
Perak,Clay,Paddy,133.6,37.6,Low
Perak,Clay,Papaya,293.6,16.7,Low
